2018-03-21 23:25:52.447939: step 0, duration = 0.051
2018-03-21 23:26:32.512938: step 0, duration = 0.052
2018-03-21 23:26:32.513088: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:26:34.226903: step 0, duration = 0.039
2018-03-21 23:26:34.226973: Forward-backward across 1 steps, 0.039 +/- 0.000 sec / batch
2018-03-21 23:26:35.859592: step 0, duration = 0.052
2018-03-21 23:26:35.859750: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:26:37.545942: step 0, duration = 0.051
2018-03-21 23:26:37.546101: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:39.348704: step 0, duration = 0.051
2018-03-21 23:26:39.348782: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:41.036879: step 0, duration = 0.050
2018-03-21 23:26:41.036954: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:26:42.710294: step 0, duration = 0.051
2018-03-21 23:26:42.710411: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:44.414040: step 0, duration = 0.052
2018-03-21 23:26:44.414174: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:26:46.083472: step 0, duration = 0.038
2018-03-21 23:26:46.083532: Forward-backward across 1 steps, 0.038 +/- 0.000 sec / batch
2018-03-21 23:26:47.764443: step 0, duration = 0.051
2018-03-21 23:26:47.764516: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:49.582798: step 0, duration = 0.056
2018-03-21 23:26:49.582876: Forward-backward across 1 steps, 0.056 +/- 0.000 sec / batch
2018-03-21 23:26:51.227398: step 0, duration = 0.051
2018-03-21 23:26:51.227473: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:52.856206: step 0, duration = 0.051
2018-03-21 23:26:52.856331: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:54.590611: step 0, duration = 0.053
2018-03-21 23:26:54.590718: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:26:56.349817: step 0, duration = 0.053
2018-03-21 23:26:56.349965: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:26:58.168544: step 0, duration = 0.051
2018-03-21 23:26:58.168617: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:59.873139: step 0, duration = 0.053
2018-03-21 23:26:59.873298: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:27:01.708859: step 0, duration = 0.050
2018-03-21 23:27:01.709006: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:27:03.470276: step 0, duration = 0.052
2018-03-21 23:27:03.470389: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:27:05.245934: step 0, duration = 0.051
2018-03-21 23:27:05.246007: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:27:06.866214: step 0, duration = 0.051
2018-03-21 23:27:06.866292: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:27:08.614051: step 0, duration = 0.051
2018-03-21 23:27:08.614204: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:27:10.399797: step 0, duration = 0.050
2018-03-21 23:27:10.399869: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:27:12.297437: step 0, duration = 0.051
2018-03-21 23:27:12.297591: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:27:14.058166: step 0, duration = 0.051
2018-03-21 23:27:14.058237: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:27:15.775367: step 0, duration = 0.052
2018-03-21 23:27:15.775454: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:27:17.593725: step 0, duration = 0.051
2018-03-21 23:27:17.593881: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:27:19.390545: step 0, duration = 0.051
2018-03-21 23:27:19.390617: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:27:21.141518: step 0, duration = 0.054
2018-03-21 23:27:21.141601: Forward-backward across 1 steps, 0.054 +/- 0.000 sec / batch
2018-03-21 23:27:22.829557: step 0, duration = 0.052
2018-03-21 23:27:22.829722: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:27:24.536656: step 0, duration = 0.052
2018-03-21 23:27:24.536729: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:27:26.323864: step 0, duration = 0.052
2018-03-21 23:27:26.324023: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:27:28.071779: step 0, duration = 0.050
2018-03-21 23:27:28.071853: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:27:29.830754: step 0, duration = 0.054
2018-03-21 23:27:29.830925: Forward-backward across 1 steps, 0.054 +/- 0.000 sec / batch
2018-03-21 23:27:31.639425: step 0, duration = 0.052
2018-03-21 23:27:31.639544: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:27:33.410607: step 0, duration = 0.051
2018-03-21 23:27:33.410683: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:27:35.143297: step 0, duration = 0.038
2018-03-21 23:27:35.143360: Forward-backward across 1 steps, 0.038 +/- 0.000 sec / batch
2018-03-21 23:27:36.921804: step 0, duration = 0.054
2018-03-21 23:27:36.921938: Forward-backward across 1 steps, 0.054 +/- 0.000 sec / batch
2018-03-21 23:27:38.654391: step 0, duration = 0.050
2018-03-21 23:27:38.654547: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:27:40.422979: step 0, duration = 0.051
2018-03-21 23:27:40.423053: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:27:42.136783: step 0, duration = 0.060
2018-03-21 23:27:42.136919: Forward-backward across 1 steps, 0.060 +/- 0.000 sec / batch
2018-03-21 23:27:43.802636: step 0, duration = 0.050
2018-03-21 23:27:43.802783: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:27:45.538333: step 0, duration = 0.052
2018-03-21 23:27:45.538408: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:27:47.270783: step 0, duration = 0.051
2018-03-21 23:27:47.270856: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:27:49.008165: step 0, duration = 0.050
2018-03-21 23:27:49.008323: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:27:50.706328: step 0, duration = 0.051
2018-03-21 23:27:50.706404: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:27:52.430057: step 0, duration = 0.052
2018-03-21 23:27:52.430132: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:27:54.197836: step 0, duration = 0.052
2018-03-21 23:27:54.197911: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:27:55.939630: step 0, duration = 0.053
2018-03-21 23:27:55.939762: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:27:57.739357: step 0, duration = 0.050
2018-03-21 23:27:57.739495: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:27:59.475583: step 0, duration = 0.051
2018-03-21 23:27:59.475693: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:28:01.111257: step 0, duration = 0.053
2018-03-21 23:28:01.111337: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:28:02.902043: step 0, duration = 0.052
2018-03-21 23:28:02.902201: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:28:04.505005: step 0, duration = 0.051
2018-03-21 23:28:04.505081: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:28:06.204379: step 0, duration = 0.051
2018-03-21 23:28:06.204452: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:28:07.937953: step 0, duration = 0.051
2018-03-21 23:28:07.938105: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:28:09.734485: step 0, duration = 0.054
2018-03-21 23:28:09.734606: Forward-backward across 1 steps, 0.054 +/- 0.000 sec / batch
2018-03-21 23:28:11.514985: step 0, duration = 0.052
2018-03-21 23:28:11.515061: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:28:13.262718: step 0, duration = 0.052
2018-03-21 23:28:13.262885: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:28:14.987143: step 0, duration = 0.051
2018-03-21 23:28:14.987231: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:28:16.723596: step 0, duration = 0.051
2018-03-21 23:28:16.723734: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:28:18.525879: step 0, duration = 0.053
2018-03-21 23:28:18.525952: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:28:20.263693: step 0, duration = 0.050
2018-03-21 23:28:20.263825: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:28:22.027495: step 0, duration = 0.051
2018-03-21 23:28:22.027568: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:28:23.777273: step 0, duration = 0.051
2018-03-21 23:28:23.777396: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:28:25.508879: step 0, duration = 0.053
2018-03-21 23:28:25.509018: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:28:27.241976: step 0, duration = 0.051
2018-03-21 23:28:27.242119: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:28:29.059097: step 0, duration = 0.053
2018-03-21 23:28:29.059224: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:28:30.703896: step 0, duration = 0.053
2018-03-21 23:28:30.704818: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:28:32.436822: step 0, duration = 0.052
2018-03-21 23:28:32.436932: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:28:34.186954: step 0, duration = 0.053
2018-03-21 23:28:34.187105: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:28:36.014434: step 0, duration = 0.052
2018-03-21 23:28:36.014564: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:28:37.777441: step 0, duration = 0.039
2018-03-21 23:28:37.777505: Forward-backward across 1 steps, 0.039 +/- 0.000 sec / batch
2018-03-21 23:28:39.459224: step 0, duration = 0.051
2018-03-21 23:28:39.459371: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:28:41.215384: step 0, duration = 0.052
2018-03-21 23:28:41.215454: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:28:42.837577: step 0, duration = 0.050
2018-03-21 23:28:42.837723: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:28:44.549723: step 0, duration = 0.038
2018-03-21 23:28:44.549785: Forward-backward across 1 steps, 0.038 +/- 0.000 sec / batch
perf stat -r 100 -e cpu/event=0xd2,umask=0x4,name=mem_load_uops_l3_hit_retired_xsnp_hitm/ python benchmark_alexnet.py
